퍼블리싱,아티스트,Nation,Artist,Artist Native,음반,Album,규모,해외,트랙,음원,ver.,feat.,Track,Track Native,장르,속도,비트,전자,보컬,성별,행위,가사,종교,공간,시대,시간,스타일,명암,대중,음량,백엔드,빅데이터,행정,디자이너,,시간,청음,dB(R) 1.0,dB(R) 1.1,기획사,작곡,편곡,작사,실연,가사,음반 관리번호,음원 관리번호,비디오 관리번호,ISRC,UCI,바코드
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,1,"Yo, Como Esta",,,"Yo, Como Esta",,재즈,3,3.5,1,3,,노래,일반,-,3.5,현대,3,재즈,2,4,4,2,2,0,0,3,3:22,51.71,51.59,,케이저,필윤,필윤,필윤,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-01,KEI-0001-01V,KRMIM1905935,uci:i500-1000005588864.100044525527-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,2,The Winds from Cuba,,,The Winds from Cuba,,재즈,3.5,4.5,1,2,,노래,일반,-,3.5,현대,4,재즈,2.5,3.5,5,1,1,0,0,3,5:46,53.83,53.67,,케이저,필윤,필윤,필윤,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-02,,KRMIM1905936,uci:i500-1000005588864.100044525528-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,3,바다와 푸른 밤,,,Ocean & Blue Night,,재즈,2.5,2,1,3,,노래,일반,-,3,현대,2.5,재즈,3,3,5,2,1,0,0,2,4:22,52,52.14,,케이저,필윤,필윤,필윤,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-03,,KRMIM1905937,uci:i500-1000005588864.100044525529-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,4,Sailing,,,Sailing,,재즈,4,4.5,1,2,,노래,일반,-,3.5,현대,4.5,재즈,3,2,5,0,2,2,0,3,5:58,54.6,54.71,,케이저,필윤,필윤,필윤,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-04,,KRMIM1905938,uci:i500-1000005588864.100044525530-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,5,흐린비,,,Cloudy Rain,,재즈,1,2,1,3,,노래,내향,-,2.5,현대,2,재즈,4,2,4,0,1,1,0,2,5:13,51.01,51.3,,케이저,필윤,필윤,필윤,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-05,,KRMIM1905939,uci:i500-1000005588864.100044525531-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,6,뱃놀이,,,Bet Nori,,재즈,4,5,1,2,,노래,일반,-,4,현대,4,재즈,3,1.5,5,1,0,1,0,3,6:49,54.1,54.06,,케이저,,필윤,,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-06,,KRMIM1905940,uci:i500-1000005588864.100044525532-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,7,Snow on the Moon,,,Snow on the Moon,,재즈,2,2,1,3,,노래,내향,-,3,현대,2.5,재즈,4,3,4,2,0,1,0,3,4:30,51.36,51.26,,케이저,필윤,필윤,필윤,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-07,,KRMIM1905941,uci:i500-1000005588864.100044525533-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,8,한오백년,,,About 500 Years,,재즈,2.5,3,1,3,,노래,내향,-,3,고동,3,재즈,4,2.5,4.5,1,0,2,0,2,6:07,54.01,54.1,,케이저,,필윤,,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-08,,KRMIM1905942,uci:i500-1000005588864.100044525540-1,8809990091102
2019-06-01,필윤,,Phil Yoon,,The Winds from Cuba,The Winds from Cuba,정규,FALSE,9,진도 아리랑,,,Jindo Arirang,,재즈,1.5,3,1,3,,노래,내향,-,2.5,고동,2,재즈,3.5,2,4,0,2,2,0,2,4:34,52.06,51.88,,케이저,,필윤,,"필윤, 조아혜, 이명건, 허진호, 이종원, 신영하",,KEI-0001,KEI-0001-09,,KRMIM1905943,uci:i500-1000005588864.100044525550-1,8809990091102
2019-09-01,강혜인,,Hyein Kang,,Favor,Favor,정규,FALSE,1,Welcome Rain,,,Welcome Rain,,재즈,2,1.5,1,1,,-,-,-,1.5,고서,2,일반,3,3,3.5,0,2,3,0,3,3:51,50.25,50.29,,블루쉬림프,강혜인,강혜인,,"강혜인, 임대섭, 원익준, 곽윤찬",,KEI-0002,KEI-0002-01,,KRMIM1914617,uci:i500-1000005899842.100046717561-1,8809990091119
